month,media,tv,radio,prog_type,nom,appartenance,party_abb,time
2020-02-01,TF1,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-02-01,France 2,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2
2020-02-01,France 3,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3
2020-02-01,Canal +,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6
2020-02-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,10
2020-02-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3
2020-02-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9
2020-02-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-02-01,C8,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-02-01,TMC,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8
2020-02-01,RMC Story,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-01-01,TF1,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2
2020-01-01,France 2,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6
2020-01-01,France 3,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-01-01,France 3,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2
2020-01-01,France 3,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-01-01,Canal +,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8
2020-01-01,Canal +,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2
2020-01-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8
2020-01-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4
2020-01-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9
2020-01-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3
2020-01-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-01-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-01-01,C8,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-01-01,TMC,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,19
2020-01-01,RMC Story,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3
2020-01-01,RMC Découverte,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,10
2020-01-01,RMC Découverte,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-03-01,TF1,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,60.016666666666666
2020-03-01,France 2,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,31
2020-03-01,France 2,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2
2020-03-01,France 3,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27
2020-03-01,France 3,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-03-01,Canal +,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8
2020-03-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,10
2020-03-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6
2020-03-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5
2020-03-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2
2020-03-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,63.016666666666666
2020-03-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6
2020-03-01,C8,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2020-03-01,C8,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-03-01,TMC,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9
2020-03-01,RMC Story,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3
2020-03-01,RMC Découverte,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4
2020-04-01,TF1,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,29
2020-04-01,France 2,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,37
2020-04-01,France 2,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-04-01,France 3,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,28
2020-04-01,Canal +,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,41
2020-04-01,France 5,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5
2020-04-01,France 5,TRUE,FALSE,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9
2020-04-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27
2020-04-01,M6,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3
2020-04-01,C8,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,27
2020-04-01,TMC,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,44
2020-04-01,RMC Story,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-04-01,RMC Story,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2
2020-04-01,RMC Découverte,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-09-01,BFM TV,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,185.05
2020-09-01,BFM TV,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,14
2020-09-01,BFM TV,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-09-01,BFM TV,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,27
2020-09-01,BFM TV,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2020-09-01,CNEWS,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,16
2020-09-01,CNEWS,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6
2020-09-01,CNEWS,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,55
