month,media,tv,radio,prog_type,nom,appartenance,party_abb,time,path
2021-02-01,BFM TV,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,65.01666666666667,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,BFM TV,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,54,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,BFM TV,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,BFM TV,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,CNEWS,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,CNEWS,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,31,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,CNEWS,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,LCI,TRUE,FALSE,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,16,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,LCI,TRUE,FALSE,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
2021-02-01,LCI,TRUE,FALSE,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,67.01666666666667,../raw_data/final/2021//CHAINES%20INFO%20PERSONNALITES%20du%201er-28-02-2021.xlsx
