type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,BFM,Macron Emmanuel,2022-01-01,2022-01-16,0,3.9833,0
presidential,national,BFM,Macron Emmanuel,2022-01-16,2022-01-30,2.0833,4.55,52.35
presidential,national,BFM,Pecresse Valerie,2022-01-01,2022-01-16,0.1333,0,0
presidential,national,BFM,Pecresse Valerie,2022-01-16,2022-01-30,0,0,0
presidential,national,BFM,Roussel Fabien,2022-01-16,2022-01-30,0.8667,0,0
presidential,national,BFM,Zemmour Eric,2022-01-01,2022-01-16,0.6,0,1.3167
presidential,national,BFM,Zemmour Eric,2022-01-16,2022-01-30,0,0,0
presidential,national,BFM TV,Arthaud Nathalie,2022-01-16,2022-01-30,11.75,0,0
presidential,national,BFM TV,Dupont Aignan Nicolas,2022-01-01,2022-01-16,9.7167,0,0
presidential,national,BFM TV,Dupont Aignan Nicolas,2022-01-16,2022-01-30,20.75,0,0
presidential,national,BFM TV,Grimal Fabrice,2022-01-16,2022-01-30,0.7833,0.7667,2.3833
presidential,national,BFM TV,Hidalgo Anne,2022-01-01,2022-01-16,50.9167,31.05,3.0667
presidential,national,BFM TV,Hidalgo Anne,2022-01-16,2022-01-30,56.4,4.5167,6.9833
presidential,national,BFM TV,Jadot Yannick,2022-01-01,2022-01-16,12.3333,127.2833,1.0667
presidential,national,BFM TV,Jadot Yannick,2022-01-16,2022-01-30,38.6833,25.3667,8.15
presidential,national,BFM TV,Kazib Anasse,2022-01-16,2022-01-30,2.6833,0,1.05
presidential,national,BFM TV,Koenig Gaspard,2022-01-01,2022-01-16,8.3,0,0
presidential,national,BFM TV,Koenig Gaspard,2022-01-16,2022-01-30,0,0,0
presidential,national,BFM TV,Kuzmanovic Georges,2022-01-16,2022-01-30,2.6667,0,2.7
presidential,national,BFM TV,Langlois Alexandre,2022-01-16,2022-01-30,6.85,0,3.8667
presidential,national,BFM TV,Lassalle Jean,2022-01-16,2022-01-30,0.9667,2.1333,3.55
presidential,national,BFM TV,Le Pen Marine,2022-01-01,2022-01-16,128.0667,158.8,24.5333
