month,station,prog_type,name,label,party,time
2019-02-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.2666666666666666
2019-02-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.666666666666667
2019-02-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.783333333333333
2019-02-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.9333333333333333
2019-02-01,Canal +,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.4833333333333334
2019-02-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.516666666666667
2019-02-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,12.516666666666667
2019-02-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.683333333333333
2019-02-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.566666666666667
2019-02-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,15.766666666666667
2019-02-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.9166666666666667
2019-02-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.85
2019-04-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,10.883333333333333
2019-04-01,TF1,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.1333333333333333
2019-04-01,TF1,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,103.86666666666666
2019-04-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,143.68333333333334
2019-04-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,11.566666666666666
2019-04-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.0833333333333335
2019-04-01,France 3,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.25
2019-04-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,11
2019-04-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,28.983333333333334
2019-04-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.7
2019-04-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14.25
2019-04-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.9
2019-04-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.95
2019-04-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.2833333333333334
2019-04-01,C8,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.0166666666666666
2019-04-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.95
2019-04-01,RMC Story,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.716666666666667
2019-04-01,RMC Story,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2
2019-04-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.2
2019-04-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.483333333333333
2019-04-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.616666666666666
2019-06-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.933333333333333
2019-06-01,TF1,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,46.2
2019-06-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.666666666666667
2019-06-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,49.81666666666667
2019-06-01,France 2,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.3
2019-06-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.483333333333333
2019-06-01,France 3,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3
2019-06-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,7.683333333333334
2019-06-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.266666666666667
2019-06-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,11.7
2019-06-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.05
2019-06-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,7.283333333333333
2019-06-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.25
2019-06-01,C8,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.3333333333333333
2019-06-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,18.3
2019-06-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.1
2019-06-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.533333333333333
2019-06-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.8666666666666667
2019-09-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.383333333333333
2019-09-01,TF1,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.15
2019-09-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,13.1
2019-09-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.183333333333333
2019-09-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.683333333333334
2019-09-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.816666666666667
2019-09-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.55
2019-09-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.9
2019-09-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.4666666666666666
2019-09-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,10.566666666666666
2019-09-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.616666666666667
2019-09-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.6
2019-09-01,RMC Découverte,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.033333333333333
2019-09-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.166666666666667
2019-11-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.833333333333334
2019-11-01,France 2,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.1
2019-11-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.716666666666667
2019-11-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.45
2019-11-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.05
2019-11-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.8666666666666667
2019-11-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,18.566666666666666
2019-11-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,16.683333333333334
2019-11-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.4666666666666666
2019-11-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.4833333333333334
2019-11-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,17.166666666666668
2019-11-01,RMC Story,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,6.066666666666666
2019-11-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.0166666666666666
2019-11-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.033333333333333
2019-11-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.65
2019-01-01,TF1,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.916666666666667
2019-01-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,12.95
2019-01-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.9333333333333333
2019-01-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.8666666666666667
2019-01-01,France 2,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.0166666666666666
2019-01-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,7.416666666666667
2019-01-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.3333333333333333
2019-01-01,France 3,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.933333333333334
2019-01-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.3
2019-01-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.3
2019-01-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,21.683333333333334
2019-01-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.05
2019-01-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,24.45
2019-01-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.2
2019-01-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.433333333333333
2019-01-01,C8,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.2166666666666666
2019-01-01,C8,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.0833333333333333
2019-01-01,C8,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.466666666666667
2019-01-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,15.25
2019-01-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.6
2019-01-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.533333333333333
2019-03-01,TF1,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1
2019-03-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.083333333333334
2019-03-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.1666666666666665
2019-03-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,7.133333333333334
2019-03-01,France 3,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.1333333333333333
2019-03-01,France 3,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.066666666666667
2019-03-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,8.316666666666666
2019-03-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,11.516666666666667
2019-03-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,8.85
2019-03-01,France 5,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.416666666666666
2019-03-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.45
2019-03-01,C8,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.1
2019-03-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,15.25
2019-03-01,RMC Story,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.45
2019-03-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.8
2019-03-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.5666666666666667
2019-05-01,TF1,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,22.433333333333334
2019-05-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,5.5
2019-05-01,France 2,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.5333333333333334
2019-05-01,France 2,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,21.3
2019-05-01,France 3,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.15
2019-05-01,France 3,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1
2019-05-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.3833333333333333
2019-05-01,Canal +,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,3.3
2019-05-01,Canal +,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.25
2019-05-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.383333333333334
2019-05-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.6666666666666665
2019-05-01,France 5,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,10.2
2019-05-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,21.133333333333333
2019-05-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.3166666666666667
2019-05-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,9.683333333333334
2019-05-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,2.683333333333333
2019-07-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,9.316666666666666
2019-07-01,France 2,PROG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,3.2666666666666666
2019-07-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.7
2019-07-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.65
2019-07-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,4.05
2019-07-01,France 5,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,2.8333333333333335
2019-07-01,M6,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.25
2019-07-01,TMC,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,6.866666666666666
2019-07-01,RMC Story,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,4.15
2019-07-01,RMC Découverte,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.4833333333333334
2019-07-01,RMC Découverte,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.1
2019-07-01,RMC Découverte,MAG,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,1.3
2019-08-01,TF1,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.8
2019-08-01,France 2,JT,Macron Emmanuel,Président De La République Hors Débat Politique,Exécutif,51.71666666666667
2019-08-01,France 3,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.666666666666667
2019-08-01,France 3,PROG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,1.6833333333333333
2019-08-01,France 5,MAG,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,13.533333333333333
2019-08-01,M6,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,14.783333333333333
2019-08-01,RMC Story,JT,Macron Emmanuel,Président De La République En Débat Politique,Exécutif,5.1
